center,left,right,steering,speed,throttle,brake
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_221.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_221.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_221.jpg,0,1,0,14.28616
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_302.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_302.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_302.jpg,0,1,0,15.03217
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_381.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_381.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_381.jpg,0,1,0,15.97776
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_459.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_459.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_459.jpg,0,1,0,16.80776
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_535.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_535.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_535.jpg,0,1,0,17.62956
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_615.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_615.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_615.jpg,0,1,0,18.44447
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_694.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_694.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_694.jpg,0,1,0,19.25199
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_770.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_770.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_770.jpg,0,1,0,20.05369
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_849.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_849.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_849.jpg,0,1,0,20.84824
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_57_924.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_57_924.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_57_924.jpg,0,1,0,21.63604
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_003.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_003.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_003.jpg,0,1,0,22.41821
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_080.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_080.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_080.jpg,0,1,0,22.98356
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_156.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_156.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_156.jpg,0,1,0,23.77177
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_231.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_231.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_231.jpg,0,1,0,24.55059
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_307.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_307.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_307.jpg,0,1,0,25.3214
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_382.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_382.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_382.jpg,0,1,0,26.08511
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_460.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_460.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_460.jpg,0,1,0,26.6539
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_537.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_537.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_537.jpg,0,1,0,27.40685
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_612.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_612.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_612.jpg,0,1,0,28.15371
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_689.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_689.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_689.jpg,0,1,0,28.89467
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_763.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_763.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_763.jpg,0,1,0,29.62947
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_836.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_836.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_836.jpg,0,0.780444,0,30.08166
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_913.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_913.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_913.jpg,0,0.5509326,0,30.06464
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_58_986.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_58_986.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_58_986.jpg,0,0.3314381,0,30.00841
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_060.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_060.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_060.jpg,0,0.1072054,0,29.97819
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_133.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_133.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_133.jpg,0,0,0,29.74788
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_206.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_206.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_206.jpg,0,0,0,29.50883
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_278.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_278.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_278.jpg,0,0,0,29.33069
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_350.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_350.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_350.jpg,0,0,0,29.09484
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_421.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_421.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_421.jpg,0.15,0,0,28.91021
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_493.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_493.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_493.jpg,0.35,0,0,28.60811
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_566.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_566.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_566.jpg,0,0,0,28.30007
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_633.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_633.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_633.jpg,0,0,0,28.12238
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_703.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_703.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_703.jpg,0,0,0,27.89387
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_772.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_772.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_772.jpg,0,0,0,27.725
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_840.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_840.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_840.jpg,0,0.2078148,0,27.61259
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_908.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_908.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_908.jpg,0,0.4110809,0,27.70874
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_43_59_977.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_43_59_977.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_43_59_977.jpg,0.05,0.6168975,0,27.51656
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_050.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_050.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_050.jpg,0.25,0.836172,0,27.69419
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_125.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_125.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_125.jpg,0.4,1,0,27.22586
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_195.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_195.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_195.jpg,0,1,0,27.33895
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_260.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_260.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_260.jpg,0,1,0,26.69713
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_337.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_337.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_337.jpg,0,1,0,26.65418
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_411.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_411.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_411.jpg,0,1,0,26.46785
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_479.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_479.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_479.jpg,0,1,0,26.24782
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_554.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_554.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_554.jpg,0.2,0.8994343,0,26.89274
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_628.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_628.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_628.jpg,0,0.6801767,0,27.15529
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_694.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_694.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_694.jpg,0,0.462854,0,27.18572
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_765.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_765.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_765.jpg,0.2,0.2516783,0,26.94601
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_834.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_834.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_834.jpg,0.35,0.04469287,0,26.55803
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_905.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_905.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_905.jpg,0,0,0,25.97076
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_00_976.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_00_976.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_00_976.jpg,0.1,0,0,25.51364
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_046.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_046.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_046.jpg,0.3,0,0,24.76651
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_115.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_115.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_115.jpg,0,0,0,24.23988
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_183.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_183.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_183.jpg,0,0,0,23.61129
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_253.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_253.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_253.jpg,0,0,0,23.09962
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_322.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_322.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_322.jpg,0,0,0,22.28139
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_391.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_391.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_391.jpg,0.1,0,0,21.68737
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_462.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_462.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_462.jpg,0.3,0,0,20.97618
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_532.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_532.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_532.jpg,0,0,0,20.60943
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_600.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_600.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_600.jpg,0,0,0,19.87122
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_677.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_677.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_677.jpg,0,0,0,19.2636
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_743.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_743.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_743.jpg,0,0,0,18.75479
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_812.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_812.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_812.jpg,0,0,0,18.50671
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_890.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_890.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_890.jpg,0,0,0,18.14898
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_01_956.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_01_956.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_01_956.jpg,0,0,0,17.64278
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_032.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_032.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_032.jpg,0,0.108563,0,17.39904
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_096.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_096.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_096.jpg,0,0.314259,0,17.53546
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_167.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_167.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_167.jpg,0,0.5256377,0,17.63431
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_239.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_239.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_239.jpg,0,0.7372397,0,17.61164
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_310.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_310.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_310.jpg,0,0.9434043,0,18.9065
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_376.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_376.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_376.jpg,0,0.8950612,0,19.44537
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_445.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_445.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_445.jpg,0.1,0.6895208,0,20.05416
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_514.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_514.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_514.jpg,0.25,0.48178,0,20.23555
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_582.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_582.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_582.jpg,0.45,0.2750272,0,20.24602
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_654.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_654.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_654.jpg,0,0.06203207,0,20.46304
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_722.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_722.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_722.jpg,0,0,0,20.31178
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_791.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_791.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_791.jpg,0,0.2065158,0,19.9845
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_860.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_860.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_860.jpg,0,0.414502,0,20.35709
C:\Users\Vinoth\Desktop\IMG\center_2019_02_21_19_44_02_930.jpg,C:\Users\Vinoth\Desktop\IMG\left_2019_02_21_19_44_02_930.jpg,C:\Users\Vinoth\Desktop\IMG\right_2019_02_21_19_44_02_930.jpg,0,0.6239047,0,20.71432
